part_id,P_k
P0258,207.07
P0259,84.61
P0260,212.77
P0261,34.36
P0262,107.13
P0263,153.11
P0264,129.56
P0265,285.25
P0266,190.91
P0267,255.48
P0268,75.35
P0269,314.09
P0270,606.49
P0271,58.47
P0272,62.97
P0273,465.84
P0274,117.85
P0275,495.26
P0276,94.01
P0277,518.63
P0278,157.59
P0279,176.63
P0280,572.43
P0281,101.09
P0282,60.02
P0283,93.5
P0284,210.34
P0285,34.21
P0286,248.48
P0287,86.21
P0288,393.34
P0289,16.23
P0290,68.97
P0291,30.69
P0292,66.56
P0293,174.96
P0294,119.14
P0295,111.45
P0296,121.31
P0297,168.12
P0298,56.48
P0299,264.49
P0300,254.18
P0301,197.98
P0302,231.02
P0303,182.8
P0304,874.11
P0305,129.45
P0306,106.19
P0307,71.06
P0308,55.29
P0309,45.68
P0310,62.91
P0311,131.37
P0312,189.14
P0313,146.59
P0314,70.29
P0315,314.76
P0316,272.36
P0317,121.26
P0318,77.79
P0319,229.35
P0320,165.81
P0321,38.03
P0322,131.69
P0323,177.23
P0324,62.3
P0325,166.09
P0326,37.8
P0327,466.01
P0328,430.44
P0329,111.54
P0330,194.17
P0331,16.0
P0332,49.45
P0333,107.47
P0334,53.34
P0335,266.29
P0336,844.89
P0337,48.55
P0338,65.89
P0339,173.04
P0340,596.84
P0341,46.6
P0342,175.17
P0343,721.12
P0344,31.66
P0345,44.2
P0346,95.62
P0347,87.63
P0348,290.9
P0349,174.01
P0350,28.34
P0351,222.63
P0352,83.25
P0353,440.82
P0354,79.58
P0355,78.94
P0356,227.84
P0357,278.18
P0358,209.54
P0359,30.71
P0360,227.21
P0361,55.19
P0362,173.02
P0363,38.87
P0364,209.21
P0365,67.74
P0366,44.14
P0367,266.16
P0368,174.01
P0369,80.56
P0370,516.82
P0371,94.17
P0372,144.1
P0373,178.34
P0374,80.15
P0375,213.93
P0376,86.62
P0377,96.66
P0378,477.24
P0379,54.88
P0380,15.96
P0381,596.74
P0382,1388.58
P0383,97.21
P0384,24.5
P0385,105.87
P0386,108.21
P0387,118.0
P0388,51.4
P0389,235.86
P0390,224.46
P0391,36.48
P0392,262.68
P0393,888.08
P0394,163.43
P0395,103.34
P0396,123.2
P0397,243.56
P0398,29.49
P0399,162.32
P0400,98.52
P0401,738.55
P0402,119.69
P0403,628.13
P0404,51.85
P0405,237.5
P0406,186.63
P0407,64.04
P0408,164.24
P0409,416.93
P0410,104.61
P0411,30.54
P0412,137.8
P0413,62.14
P0414,102.88
P0415,130.09
P0416,30.16
P0417,32.71
P0418,216.05
P0419,87.46
P0420,13.92
P0421,283.72
P0422,178.89
P0423,73.64
P0424,42.8
P0425,297.04
P0426,191.72
P0427,1195.1
P0428,204.35
P0429,198.46
P0430,120.47
P0431,292.0
P0432,245.73
P0433,431.9
P0434,87.57
P0435,94.61
P0436,90.96
P0437,285.25
P0438,539.25
P0439,92.64
P0440,95.52
P0441,185.73
P0442,112.22
P0443,329.8
P0444,18.45
P0445,66.53
P0446,69.23
P0447,17.35
P0448,58.81
P0449,61.44
P0450,116.82
P0451,381.2
P0452,112.29
P0453,55.36
P0454,133.0
P0455,359.93
P0456,58.16
P0457,61.69
P0458,231.44
P0459,114.69
P0460,250.73
P0461,138.29
P0462,263.26
P0463,55.15
P0464,138.49
P0465,115.82
P0466,46.87
P0467,34.28
P0468,259.52
P0469,102.08
P0470,55.79
P0471,128.39
P0472,386.39
P0473,17.97
P0474,36.4
P0475,61.01
P0476,521.5
P0477,180.54
P0478,279.28
P0479,50.17
P0480,51.11
P0481,209.49
P0482,147.54
P0483,229.41
P0484,118.24
P0485,179.82
P0486,161.41
P0487,281.92
P0488,289.44
P0489,32.58
P0490,18.52
P0491,344.89
P0492,407.73
P0493,55.87
P0494,26.25
P0495,153.05
P0496,323.56
P0497,705.9
P0498,222.81
P0499,100.19
P0500,62.67
P0501,141.45
P0502,106.94
P0503,56.15
P0504,884.94
P0505,698.05
P0506,389.2
P0507,61.12
P0508,302.22
P0509,248.96
P0510,208.5
P0511,431.1
P0512,248.01
P0513,272.5
P0514,248.35
P0515,190.25
P0516,28.12
P0517,150.94
P0518,84.87
P0519,44.25
P0520,636.05
P0521,663.64
P0522,475.77
P0523,176.15
P0524,472.11
P0525,141.53
P0526,168.03
P0527,52.33
P0528,200.12
P0529,147.82
P0530,43.35
P0531,133.7
P0532,130.31
P0533,705.88
P0534,313.07
P0535,141.45
P0536,175.13
P0537,145.68
P0538,116.63
P0539,52.85
P0540,122.2
P0541,71.53
P0542,45.44
P0543,221.79
P0544,199.09
P0545,28.04
P0546,125.36
P0547,343.01
P0548,363.2
P0549,352.45
P0550,144.99
P0551,65.44
P0552,52.79
P0553,190.91
P0554,196.96
P0555,445.96
P0556,376.77
P0557,124.29
P0558,45.69
P0559,105.05
P0560,170.23
P0561,116.72
P0562,83.22
P0563,175.78
P0564,88.95
P0565,79.55
P0566,185.3
P0567,97.5
P0568,174.4
P0569,179.03
P0570,50.21
P0571,90.79
P0572,510.63
P0573,49.19
P0574,20.84
P0575,26.21
P0576,143.72
P0577,143.95
P0578,125.94
P0579,417.55
P0580,12.63
P0581,199.93
P0582,570.74
P0583,50.74
P0584,99.47
P0585,71.1
P0586,62.6
P0587,104.38
P0588,505.92
P0589,731.64
P0590,103.47
P0591,777.59
P0592,144.56
P0593,678.55
P0594,128.72
P0595,157.53
P0596,194.53
P0597,2446.98
P0598,301.21
P0599,74.08
P0600,334.87
