anchor_id,city,state_province,country,lat,lon,region_code
BD_DHAKA,Dhaka,,BD,23.8103,90.4125,APAC
IN_TN_CHENNAI,Chennai,TN,IN,13.0827,80.2707,APAC
IN_TG_HYDERABAD,Hyderabad,TG,IN,17.385,78.4867,APAC
IN_WB_KOLKATA,Kolkata,WB,IN,22.5726,88.3639,APAC
IN_MH_PUNE,Pune,MH,IN,18.5204,73.8567,APAC
IN_GJ_AHMEDABAD,Ahmedabad,GJ,IN,23.0225,72.5714,APAC
PH_MANILA,Manila,,PH,14.5995,120.9842,APAC
VN_HO_CHI_MINH_CITY,Ho Chi Minh City,,VN,10.8231,106.6297,APAC
VN_HANOI,Hanoi,,VN,21.0285,105.8542,APAC
AU_QLD_BRISBANE,Brisbane,QLD,AU,-27.4698,153.0251,APAC
AU_WA_PERTH,Perth,WA,AU,-31.9505,115.8605,APAC
DE_BERLIN,Berlin,,DE,52.52,13.405,EMEA
DE_MUNICH,Munich,,DE,48.1351,11.582,EMEA
AT_VIENNA,Vienna,,AT,48.2082,16.3738,EMEA
PL_WARSAW,Warsaw,,PL,52.2297,21.0122,EMEA
CZ_PRAGUE,Prague,,CZ,50.0755,14.4378,EMEA
HU_BUDAPEST,Budapest,,HU,47.4979,19.0402,EMEA
SE_STOCKHOLM,Stockholm,,SE,59.3293,18.0686,EMEA
NO_OSLO,Oslo,,NO,59.9139,10.7522,EMEA
DK_COPENHAGEN,Copenhagen,,DK,55.6761,12.5683,EMEA
FI_HELSINKI,Helsinki,,FI,60.1695,24.9354,EMEA
IE_DUBLIN,Dublin,,IE,53.3498,-6.2603,EMEA
PT_LISBON,Lisbon,,PT,38.7223,-9.1393,EMEA
GR_ATHENS,Athens,,GR,37.9838,23.7275,EMEA
TR_ISTANBUL,Istanbul,,TR,41.0082,28.9784,EMEA
ES_BARCELONA,Barcelona,,ES,41.3851,2.1734,EMEA
IT_MILAN,Milan,,IT,45.4642,9.19,EMEA
PE_LIMA,Lima,,PE,-12.0464,-77.0428,LATAM
CL_SANTIAGO,Santiago,,CL,-33.4489,-70.6693,LATAM
VE_CARACAS,Caracas,,VE,10.4806,-66.9036,LATAM
BR_RJ_RIO_DE_JANEIRO,Rio de Janeiro,RJ,BR,-22.9068,-43.1729,LATAM
CA_QC_MONTREAL,Montreal,QC,CA,45.5017,-73.5673,NAM
CA_AB_CALGARY,Calgary,AB,CA,51.0447,-114.0719,NAM
MX_JAL_GUADALAJARA,Guadalajara,JAL,MX,20.6597,-103.3496,LATAM
MX_NL_MONTERREY,Monterrey,NL,MX,25.6866,-100.3161,LATAM
