part_id,P_k
P0310,201.38
P0311,232.89
P0312,730.88
P0313,116.63
P0314,196.39
P0315,36.79
P0316,408.71
P0317,70.61
P0318,84.52
P0319,137.22
P0320,34.3
P0321,172.01
P0322,334.41
P0323,182.23
P0324,33.5
P0325,125.24
P0326,273.0
P0327,25.83
P0328,53.22
P0329,308.13
P0330,178.52
P0331,202.84
P0332,746.34
P0333,213.44
P0334,253.09
P0335,1605.7
P0336,115.49
P0337,68.28
P0338,205.75
P0339,207.83
P0340,87.15
P0341,55.28
P0342,1119.35
P0343,187.88
P0344,72.43
P0345,319.25
P0346,126.9
P0347,111.5
P0348,232.22
P0349,43.77
P0350,192.29
P0351,783.13
P0352,212.98
P0353,99.79
P0354,88.7
P0355,96.77
P0356,111.39
P0357,99.65
P0358,319.36
P0359,29.42
P0360,304.13
P0361,99.48
P0362,196.55
P0363,50.77
P0364,462.85
P0365,429.54
P0366,332.05
P0367,35.81
P0368,295.26
P0369,201.54
P0370,33.01
P0371,136.97
P0372,194.36
P0373,230.93
P0374,164.22
P0375,181.95
P0376,527.36
P0377,422.03
P0378,10.6
P0379,105.21
P0380,120.72
P0381,28.93
P0382,152.38
P0383,430.75
P0384,52.65
P0385,189.5
P0386,61.4
P0387,76.47
P0388,529.16
P0389,85.91
P0390,212.22
P0391,25.99
P0392,748.24
P0393,240.82
P0394,118.79
P0395,235.01
P0396,39.36
P0397,405.82
P0398,104.59
P0399,116.51
P0400,89.94
P0401,83.02
P0402,261.61
P0403,176.26
P0404,251.69
P0405,138.9
P0406,222.19
P0407,96.03
P0408,1041.48
P0409,34.14
P0410,435.5
P0411,479.51
P0412,65.02
P0413,1041.05
P0414,342.95
P0415,335.52
P0416,143.58
P0417,115.14
P0418,115.95
P0419,198.96
P0420,494.09
P0421,164.82
P0422,61.64
P0423,294.01
P0424,320.76
P0425,252.35
P0426,273.85
P0427,109.71
P0428,60.68
P0429,64.09
P0430,32.13
P0431,173.28
P0432,129.87
P0433,94.22
P0434,9.79
P0435,45.56
P0436,383.91
P0437,76.97
P0438,193.67
P0439,40.05
P0440,511.06
P0441,122.98
P0442,181.76
P0443,1135.52
P0444,548.09
P0445,106.24
P0446,82.08
P0447,104.44
P0448,221.53
P0449,127.35
P0450,98.09
P0451,524.32
P0452,126.32
P0453,1109.07
P0454,151.91
P0455,698.15
P0456,193.1
P0457,333.05
P0458,72.93
P0459,64.93
P0460,211.74
P0461,340.82
P0462,145.17
P0463,43.99
P0464,41.16
P0465,38.75
P0466,28.53
P0467,154.5
P0468,385.36
P0469,138.32
P0470,18.31
P0471,117.91
P0472,120.92
P0473,923.38
P0474,37.72
P0475,98.5
P0476,649.96
P0477,209.9
P0478,232.44
P0479,155.21
P0480,188.4
P0481,281.88
P0482,67.57
P0483,308.55
P0484,40.69
P0485,188.14
P0486,164.43
P0487,80.4
P0488,137.17
P0489,79.95
P0490,53.36
P0491,101.84
P0492,51.83
P0493,187.2
P0494,49.73
P0495,265.71
P0496,48.34
P0497,84.1
P0498,79.8
P0499,461.4
P0500,188.46
P0501,115.71
P0502,219.31
P0503,21.01
P0504,134.67
P0505,845.06
P0506,157.71
P0507,148.82
P0508,229.28
P0509,313.46
P0510,23.19
P0511,30.8
P0512,169.17
P0513,73.57
P0514,455.99
P0515,105.42
P0516,24.55
P0517,44.72
P0518,11.79
P0519,113.4
P0520,118.17
P0521,95.55
P0522,369.68
P0523,411.71
P0524,120.1
P0525,20.5
P0526,244.01
P0527,230.78
P0528,184.95
P0529,338.65
P0530,49.07
P0531,853.65
P0532,59.04
P0533,274.77
P0534,30.66
P0535,60.61
P0536,548.05
P0537,110.7
P0538,298.14
P0539,173.28
P0540,127.38
P0541,477.76
P0542,113.14
P0543,28.19
P0544,67.95
P0545,229.92
P0546,199.86
P0547,34.17
P0548,72.95
P0549,82.94
P0550,100.76
P0551,40.58
P0552,79.53
P0553,72.67
P0554,280.35
P0555,289.99
P0556,122.78
P0557,98.38
P0558,158.79
P0559,67.14
P0560,49.87
P0561,60.07
P0562,79.07
P0563,49.13
P0564,161.98
P0565,269.99
P0566,33.56
P0567,143.2
P0568,114.86
P0569,190.38
P0570,138.38
P0571,37.84
P0572,44.95
P0573,143.76
P0574,353.38
P0575,19.08
P0576,191.1
P0577,408.42
P0578,121.99
P0579,229.71
P0580,74.36
P0581,125.74
P0582,32.55
P0583,16.97
P0584,327.06
P0585,57.69
P0586,92.91
P0587,40.2
P0588,39.36
P0589,119.72
P0590,72.6
P0591,196.73
P0592,210.38
P0593,186.87
P0594,173.54
P0595,579.19
P0596,53.56
P0597,133.25
P0598,388.02
P0599,436.91
P0600,38.94
P0601,105.69
P0602,475.3
P0603,221.17
P0604,166.9
P0605,115.09
P0606,99.11
P0607,181.46
P0608,111.55
P0609,134.74
P0610,150.26
P0611,76.05
P0612,226.01
P0613,1928.43
P0614,28.29
P0615,187.4
P0616,70.63
P0617,235.4
P0618,145.99
P0619,277.91
P0620,403.27
P0621,166.47
P0622,387.8
P0623,16.98
P0624,585.84
P0625,196.21
P0626,369.33
P0627,46.7
P0628,66.28
P0629,159.65
P0630,137.87
P0631,180.62
P0632,371.56
P0633,28.59
P0634,336.33
P0635,141.05
P0636,116.54
P0637,37.25
P0638,220.17
P0639,15.94
P0640,250.94
P0641,36.55
P0642,146.9
P0643,125.76
P0644,401.11
P0645,119.21
P0646,74.96
P0647,88.74
P0648,440.2
P0649,226.85
P0650,98.95
P0651,113.16
P0652,34.16
P0653,198.6
P0654,28.73
P0655,275.41
P0656,157.18
P0657,1199.79
P0658,52.01
P0659,127.64
P0660,706.34
P0661,409.07
P0662,74.82
P0663,171.27
P0664,140.25
P0665,180.44
P0666,74.65
P0667,129.19
P0668,33.23
P0669,158.1
P0670,209.91
P0671,114.09
P0672,32.72
P0673,340.81
P0674,194.36
P0675,72.84
P0676,108.76
P0677,36.27
P0678,55.63
P0679,86.28
P0680,422.94
P0681,78.74
P0682,249.1
P0683,86.24
P0684,175.0
P0685,123.27
P0686,307.17
P0687,86.51
P0688,34.0
P0689,40.36
P0690,86.74
P0691,45.49
P0692,202.52
P0693,92.06
P0694,1186.53
P0695,29.3
P0696,168.16
P0697,50.73
P0698,89.8
P0699,159.0
P0700,17.27
P0701,173.26
P0702,776.08
P0703,93.09
P0704,176.88
P0705,352.16
P0706,120.79
P0707,82.99
P0708,18.06
P0709,249.27
P0710,126.44
P0711,56.27
P0712,156.9
P0713,82.79
P0714,87.01
P0715,241.61
P0716,41.98
P0717,359.32
P0718,39.79
P0719,77.11
P0720,790.21
P0721,386.16
P0722,152.85
P0723,60.05
P0724,86.95
P0725,149.54
P0726,144.81
P0727,129.01
P0728,136.17
P0729,115.43
P0730,38.24
P0731,87.95
P0732,318.88
P0733,40.86
P0734,118.04
P0735,66.94
P0736,154.76
P0737,98.68
P0738,529.16
P0739,220.87
P0740,42.99
P0741,256.15
P0742,69.72
P0743,83.29
P0744,185.69
P0745,89.93
P0746,312.69
P0747,69.73
P0748,80.21
P0749,77.55
P0750,84.15
P0751,376.5
P0752,246.55
P0753,652.36
P0754,1077.63
P0755,55.37
P0756,149.16
P0757,48.57
P0758,69.53
P0759,79.41
P0760,54.07
P0761,54.32
P0762,122.95
P0763,46.83
P0764,298.73
P0765,61.29
P0766,1755.05
P0767,93.26
P0768,149.37
P0769,43.63
P0770,650.1
P0771,383.44
P0772,182.89
P0773,41.66
P0774,169.23
P0775,51.03
P0776,522.05
P0777,290.01
P0778,152.56
P0779,15.63
P0780,57.78
P0781,259.99
P0782,417.06
P0783,379.9
P0784,33.41
P0785,183.65
P0786,349.19
P0787,31.47
P0788,139.01
P0789,179.13
P0790,106.8
P0791,26.44
P0792,104.43
P0793,104.28
P0794,122.53
P0795,84.31
P0796,93.97
P0797,135.09
P0798,208.48
P0799,106.45
P0800,96.83
P0801,152.13
P0802,24.85
P0803,215.07
P0804,139.93
P0805,145.09
P0806,332.39
P0807,24.15
P0808,23.69
P0809,179.12
P0810,139.11
P0811,163.17
P0812,92.36
P0813,254.57
P0814,324.09
P0815,216.42
P0816,110.71
P0817,21.0
P0818,279.77
P0819,420.4
P0820,250.07
P0821,63.43
P0822,256.74
P0823,303.72
P0824,569.4
P0825,63.63
P0826,114.19
P0827,274.29
P0828,147.42
P0829,51.22
P0830,203.32
P0831,235.67
P0832,151.53
P0833,170.59
P0834,110.92
P0835,529.58
P0836,62.24
P0837,82.52
P0838,141.39
P0839,308.8
P0840,36.38
P0841,43.05
P0842,22.37
P0843,144.18
P0844,51.17
P0845,99.04
P0846,253.89
P0847,78.59
P0848,172.4
P0849,106.94
P0850,256.35
P0851,214.7
P0852,75.11
P0853,120.28
P0854,358.17
P0855,199.47
P0856,39.82
P0857,252.57
P0858,52.75
P0859,499.15
P0860,351.89
P0861,181.73
P0862,161.28
P0863,115.99
P0864,257.83
P0865,100.28
P0866,173.06
P0867,306.86
P0868,84.44
P0869,80.4
P0870,47.79
P0871,53.71
P0872,27.01
P0873,270.02
P0874,713.13
P0875,504.94
P0876,32.4
P0877,268.81
P0878,503.48
P0879,92.81
P0880,153.38
P0881,22.98
P0882,177.99
P0883,53.76
P0884,167.56
P0885,34.35
P0886,228.2
P0887,352.03
P0888,69.18
P0889,50.32
P0890,20.11
P0891,110.15
P0892,82.95
P0893,34.66
P0894,210.47
P0895,93.38
P0896,53.17
P0897,84.99
P0898,367.17
P0899,240.88
P0900,124.54
P0901,244.41
P0902,49.25
P0903,144.14
P0904,159.85
P0905,91.72
P0906,207.17
P0907,69.36
P0908,221.51
P0909,230.05
P0910,10.14
P0911,408.67
P0912,9.01
P0913,80.41
P0914,352.29
P0915,105.22
P0916,37.42
P0917,52.31
P0918,352.78
P0919,24.84
P0920,386.73
P0921,133.23
P0922,47.87
P0923,82.83
P0924,56.04
P0925,305.28
P0926,270.65
P0927,29.8
P0928,97.36
P0929,64.38
P0930,448.45
P0931,41.54
P0932,593.15
P0933,135.87
P0934,49.2
P0935,76.1
P0936,68.05
P0937,44.46
P0938,152.47
P0939,46.36
P0940,19.67
P0941,99.48
P0942,27.63
P0943,71.14
P0944,61.77
P0945,63.91
P0946,847.69
P0947,147.29
P0948,174.6
P0949,28.3
P0950,77.72
P0951,169.93
P0952,55.68
P0953,317.0
P0954,47.43
P0955,108.19
P0956,82.62
P0957,162.31
P0958,78.67
P0959,109.71
P0960,113.2
P0961,72.29
P0962,216.64
P0963,173.5
P0964,129.27
P0965,95.03
P0966,286.73
P0967,113.23
P0968,106.23
P0969,153.83
P0970,644.56
P0971,41.9
P0972,279.92
P0973,25.48
P0974,170.24
P0975,577.79
P0976,217.34
P0977,163.24
P0978,84.54
P0979,143.97
P0980,111.58
P0981,69.01
P0982,107.85
P0983,167.37
P0984,70.19
P0985,67.76
P0986,41.16
P0987,199.0
P0988,228.71
P0989,172.46
P0990,333.72
P0991,151.52
P0992,199.23
P0993,184.03
P0994,128.93
P0995,86.83
P0996,1026.98
P0997,93.21
P0998,76.89
P0999,206.9
P1000,175.62
