part_id,P_k
P0526,353.83
P0527,165.22
P0528,332.96
P0529,178.94
P0530,84.46
P0531,262.35
P0532,154.65
P0533,140.17
P0534,527.05
P0535,15.42
P0536,39.08
P0537,48.1
P0538,100.96
P0539,111.33
P0540,36.06
P0541,57.69
P0542,64.51
P0543,1278.35
P0544,708.54
P0545,96.65
P0546,100.93
P0547,49.77
P0548,25.14
P0549,126.02
P0550,57.03
P0551,129.71
P0552,33.16
P0553,70.52
P0554,160.04
P0555,194.66
P0556,203.85
P0557,42.66
P0558,302.13
P0559,68.13
P0560,247.45
P0561,138.67
P0562,40.56
P0563,105.33
P0564,194.51
P0565,243.06
P0566,123.32
P0567,555.71
P0568,346.68
P0569,111.12
P0570,274.99
P0571,797.96
P0572,817.36
P0573,46.36
P0574,60.81
P0575,532.76
P0576,54.01
P0577,42.58
P0578,90.38
P0579,204.35
P0580,127.67
P0581,77.96
P0582,76.31
P0583,73.74
P0584,63.44
P0585,1091.29
P0586,182.98
P0587,310.98
P0588,90.15
P0589,118.43
P0590,73.66
P0591,12.87
P0592,40.51
P0593,27.44
P0594,18.48
P0595,47.74
P0596,461.32
P0597,134.51
P0598,447.26
P0599,202.66
P0600,283.14
P0601,62.23
P0602,224.35
P0603,269.75
P0604,83.32
P0605,231.65
P0606,233.04
P0607,85.37
P0608,50.97
P0609,48.23
P0610,151.34
P0611,187.91
P0612,68.61
P0613,143.39
P0614,233.95
P0615,244.21
P0616,565.85
P0617,441.83
P0618,56.85
P0619,637.06
P0620,86.81
P0621,358.54
P0622,148.83
P0623,96.61
P0624,27.51
P0625,119.97
P0626,34.4
P0627,334.36
P0628,548.26
P0629,68.34
P0630,183.72
P0631,72.88
P0632,79.52
P0633,281.09
P0634,135.23
P0635,670.03
P0636,90.71
P0637,344.14
P0638,152.83
P0639,286.53
P0640,93.62
P0641,133.89
P0642,126.18
P0643,65.97
P0644,254.05
P0645,251.36
P0646,238.85
P0647,558.31
P0648,515.97
P0649,99.9
P0650,195.86
P0651,79.87
P0652,142.97
P0653,81.6
P0654,601.67
P0655,194.22
P0656,115.06
P0657,409.89
P0658,19.85
P0659,22.85
P0660,286.55
P0661,147.83
P0662,175.4
P0663,42.43
P0664,137.1
P0665,849.63
P0666,293.95
P0667,163.1
P0668,94.3
P0669,98.15
P0670,20.6
P0671,176.53
P0672,299.64
P0673,33.91
P0674,77.2
P0675,49.4
P0676,58.72
P0677,146.9
P0678,21.45
P0679,243.35
P0680,275.92
P0681,111.68
P0682,15.01
P0683,57.1
P0684,424.65
P0685,11.49
P0686,102.4
P0687,48.41
P0688,288.81
P0689,76.25
P0690,201.38
P0691,232.89
P0692,730.88
P0693,116.63
P0694,196.39
P0695,36.79
P0696,408.71
P0697,70.61
P0698,84.52
P0699,137.22
P0700,34.3
P0701,172.01
P0702,334.41
P0703,182.23
P0704,33.5
P0705,125.24
P0706,273.0
P0707,25.83
P0708,53.22
P0709,308.13
P0710,178.52
P0711,202.84
P0712,746.34
P0713,213.44
P0714,253.09
P0715,1605.7
P0716,115.49
P0717,68.28
P0718,205.75
P0719,207.83
P0720,87.15
P0721,55.28
P0722,1119.35
P0723,187.88
P0724,72.43
P0725,319.25
P0726,126.9
P0727,111.5
P0728,232.22
P0729,43.77
P0730,192.29
P0731,783.13
P0732,212.98
P0733,99.79
P0734,88.7
P0735,96.77
P0736,111.39
P0737,99.65
P0738,319.36
P0739,29.42
P0740,304.13
P0741,99.48
P0742,196.55
P0743,50.77
P0744,462.85
P0745,429.54
P0746,332.05
P0747,35.81
P0748,295.26
P0749,201.54
P0750,33.01
P0751,136.97
P0752,194.36
P0753,230.93
P0754,164.22
P0755,181.95
P0756,527.36
P0757,422.03
P0758,10.6
P0759,105.21
P0760,120.72
P0761,28.93
P0762,152.38
P0763,430.75
P0764,52.65
P0765,189.5
P0766,61.4
P0767,76.47
P0768,529.16
P0769,85.91
P0770,212.22
P0771,25.99
P0772,748.24
P0773,240.82
P0774,118.79
P0775,235.01
P0776,39.36
P0777,405.82
P0778,104.59
P0779,116.51
P0780,89.94
P0781,83.02
P0782,261.61
P0783,176.26
P0784,251.69
P0785,138.9
P0786,222.19
P0787,96.03
P0788,1041.48
P0789,34.14
P0790,435.5
P0791,479.51
P0792,65.02
P0793,1041.05
P0794,342.95
P0795,335.52
P0796,143.58
P0797,115.14
P0798,115.95
P0799,198.96
P0800,494.09
